Category_Name,Category_Url
"
				Cerruti",https://www.rossmann.de/de/marken/cerruti/c/online-dachmarke_4455139
"
				Cesar",https://www.rossmann.de/de/marken/cesar/c/online-dachmarke_4455140
"
				Cetaphil",https://www.rossmann.de/de/marken/cetaphil/c/online-dachmarke_7443611
"
				Charlie",https://www.rossmann.de/de/marken/charlie/c/online-dachmarke_4455142
"
				Choco Crossies",https://www.rossmann.de/de/marken/choco-crossies/c/online-dachmarke_4455148
"
				chocri",https://www.rossmann.de/de/marken/chocri/c/online-dachmarke_7470542
"
				Chopard",https://www.rossmann.de/de/marken/chopard/c/online-dachmarke_4455149
"
				Christina Aguilera",https://www.rossmann.de/de/marken/christina-aguilera/c/online-dachmarke_4455150
"
				Cielo",https://www.rossmann.de/de/marken/cielo/c/online-dachmarke_4455152
"
				CL Deo",https://www.rossmann.de/de/marken/cl-deo/c/online-dachmarke_4455154
"
				Clairefontaine",https://www.rossmann.de/de/marken/clairefontaine/c/online-dachmarke_5644288
"
				claro",https://www.rossmann.de/de/marken/claro/c/online-dachmarke_6295968
"
				CLEAN KILL",https://www.rossmann.de/de/marken/clean-kill/c/online-dachmarke_5167003
"
				Clearasil",https://www.rossmann.de/de/marken/clearasil/c/online-dachmarke_4561984
"
				Clearblue",https://www.rossmann.de/de/marken/clearblue/c/online-dachmarke_4455155
"
				Clementoni",https://www.rossmann.de/de/marken/clementoni/c/online-dachmarke_5164795
"
				CLEOXEPT",https://www.rossmann.de/de/marken/cleoxept/c/online-dachmarke_6356210
"
				Coach",https://www.rossmann.de/de/marken/coach/c/online-dachmarke_7455062
"
				Coca-Cola",https://www.rossmann.de/de/marken/coca-cola/c/online-dachmarke_5340174
"
				Colgate",https://www.rossmann.de/de/marken/colgate/c/online-dachmarke_4455158
"
				COLLIDE",https://www.rossmann.de/de/marken/collide/c/online-dachmarke_8298711
"
				Color Expert",https://www.rossmann.de/de/marken/color-expert/c/online-dachmarke_7777292
"
				ColorB4",https://www.rossmann.de/de/marken/colorb4/c/online-dachmarke_5945821
"
				Colour-Freedom",https://www.rossmann.de/de/marken/colour-freedom/c/online-dachmarke_4455162
"
				Colourless",https://www.rossmann.de/de/marken/colourless/c/online-dachmarke_4455163
"
				Compeed",https://www.rossmann.de/de/marken/compeed/c/online-dachmarke_4455165
"
				Condomi",https://www.rossmann.de/de/marken/condomi/c/online-dachmarke_4455166
"
				Conte Mazzini",https://www.rossmann.de/de/marken/conte-mazzini/c/online-dachmarke_4455167
"
				COPPENRATH",https://www.rossmann.de/de/marken/coppenrath/c/online-dachmarke_8508496
"
				Coral",https://www.rossmann.de/de/marken/coral/c/online-dachmarke_4455168
"
				Corega",https://www.rossmann.de/de/marken/corega/c/online-dachmarke_4455169
"
				Cosmea",https://www.rossmann.de/de/marken/cosmea/c/online-dachmarke_4455170
"
				Cosmeticals",https://www.rossmann.de/de/marken/cosmeticals/c/online-dachmarke_5831665
"
				Cottonelle",https://www.rossmann.de/de/marken/cottonelle/c/online-dachmarke_4455171
"
				COVER HAIR",https://www.rossmann.de/de/marken/cover-hair/c/online-dachmarke_5201873
"
				CR7",https://www.rossmann.de/de/marken/cr7/c/online-dachmarke_4744384
"
				CRAZE",https://www.rossmann.de/de/marken/craze/c/online-dachmarke_5529609
"
				Crisan",https://www.rossmann.de/de/marken/crisan/c/online-dachmarke_4455173
